,uf_0,uf_1,uf_2,uf_3,uf_4,if_0,uf_5,uf_6,uf_7,uf_8,uf_9,uf_10,uf_11,uf_12,uf_13,uf_14,uf_15,uf_16,label
0,4,-1,-1,6,-1,1,-1,2,0,1,150,-1.0,0,1,0.098039216,0.1,2.0,30,0
1,-1,-1,-1,-1,-1,5,-1,2,1,1,700,0.25,0,0,0.064102564,0.1,1.4285714285714286,10,0
2,-1,-1,-1,-1,-1,12,-1,3,0,2,90,-1.0,0,0,0.1,0.1,1.0,26,0
3,4,-1,-1,9,-1,2,-1,1,1,2,590,0.0,0,22,0.045454545454545456,0.060606060606060615,1.1,15,0
4,4,-1,0,11,-1,1,3,2,5,1,180,0.1346153846153846,290,4,0.086956522,0.073529412,1.7647058823529411,25,0
5,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
6,-1,-1,-1,7,-1,3,3,1,0,1,-1,-1.0,0,0,0.1,0.1,-1.0,4,0
7,-1,-1,0,5,3,2,-1,2,6,2,1400,0.0,0,1,0.08,0.1,2.1,2,0
8,-1,-1,-1,5,-1,2,-1,3,1,1,4488,0.16233766233766234,0,0,0.08,0.07751938,1.0,2,0
9,-1,-1,0,7,-1,5,0,2,3,3,2075,0.16393442622950818,13900,2,0.03654485,0.09009009,1.0833333333333333,7,0
10,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
11,0,-1,3,7,-1,4,0,1,0,1,300,0.13636363636363635,0,0,0.091743119,0.1,1.3333333333333333,3,0
12,-1,-1,-1,5,-1,10,0,1,3,1,1900,0.14922048997772827,0,6,0.057894737,0.053763440860215055,1.1,15,0
13,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
14,4,-1,4,4,-1,12,4,1,1,1,499,0.14383561643835616,0,2,0.053475935828877004,0.076923077,1.0,3,0
15,-1,-1,0,-1,-1,3,3,2,8,1,2260,0.14792899408284024,0,1,0.04975124400000001,0.038167939,1.7857142857142858,133,0
16,0,-1,-1,9,-1,1,-1,2,0,1,-1,-1.0,0,3,0.09009009,0.1,-1.0,2,0
17,-1,-1,-1,-1,-1,10,0,2,1,1,98,0.0,0,2,0.092592593,0.087719298,1.0,6,0
18,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
19,-1,-1,-1,-1,-1,8,-1,2,0,2,13800,-1.0,0,1,0.096153846,0.096153846,1.0,12,0
20,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
21,0,-1,-1,11,-1,9,0,1,1,2,853,0.13725490196078433,0,1,0.095238095,0.087719298,1.0,4,0
22,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
23,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
24,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
25,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
26,-1,-1,-1,-1,-1,3,-1,3,2,1,1330,0.2,0,9,0.039525692,0.1,1.0,22,0
27,-1,-1,-1,-1,-1,2,-1,3,1,1,1950,0.25,0,0,0.039525692,0.1,1.0,5,0
28,-1,-1,4,1,-1,3,2,3,1,1,1970,-1.0,0,0,0.095238095,0.09433962300000001,1.1666666666666667,15,0
29,-1,-1,3,8,-1,1,-1,2,0,2,2315,0.0,0,0,0.081300813,0.098039216,1.0,7,0
30,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
